Pinar del Río,Pinar del Río,559
Artemisa,Pinar del Río,729
La Habana,Pinar del Río,101
Mayabeque,Pinar del Río,51
Matanzas,Pinar del Río,14
Villa Clara,Pinar del Río,16
Cienfuegos,Pinar del Río,15
Sancti Spíritus,Pinar del Río,5
Ciego de Avila,Pinar del Río,29
Camagüey,Pinar del Río,15
Las Tunas,Pinar del Río,18
Holguín,Pinar del Río,27
Granma,Pinar del Río,52
Santiago de Cuba,Pinar del Río,20
Guantánamo,Pinar del Río,24
Pinar del Río,Artemisa,219
Artemisa,Artemisa,1191
La Habana,Artemisa,198
Mayabeque,Artemisa,55
Matanzas,Artemisa,46
Villa Clara,Artemisa,50
Cienfuegos,Artemisa,39
Sancti Spíritus,Artemisa,43
Ciego de Avila,Artemisa,96
Camagüey,Artemisa,46
Las Tunas,Artemisa,128
Holguín,Artemisa,218
Granma,Artemisa,148
Santiago de Cuba,Artemisa,114
Guantánamo,Artemisa,24
Pinar del Río,La Habana,132
Artemisa,La Habana,623
La Habana,La Habana,694
Mayabeque,La Habana,239
Matanzas,La Habana,427
Villa Clara,La Habana,167
Cienfuegos,La Habana,125
Sancti Spíritus,La Habana,165
Ciego de Avila,La Habana,280
Camagüey,La Habana,186
Las Tunas,La Habana,438
Holguín,La Habana,330
Granma,La Habana,394
Santiago de Cuba,La Habana,279
Guantánamo,La Habana,128
Pinar del Río,Mayabeque,19
Artemisa,Mayabeque,235
La Habana,Mayabeque,1067
Mayabeque,Mayabeque,227
Matanzas,Mayabeque,57
Villa Clara,Mayabeque,37
Cienfuegos,Mayabeque,19
Sancti Spíritus,Mayabeque,31
Ciego de Avila,Mayabeque,158
Camagüey,Mayabeque,65
Las Tunas,Mayabeque,188
Holguín,Mayabeque,187
Granma,Mayabeque,140
Santiago de Cuba,Mayabeque,116
Guantánamo,Mayabeque,39
Pinar del Río,Matanzas,25
Artemisa,Matanzas,106
La Habana,Matanzas,529
Mayabeque,Matanzas,224
Matanzas,Matanzas,258
Villa Clara,Matanzas,173
Cienfuegos,Matanzas,64
Sancti Spíritus,Matanzas,91
Ciego de Avila,Matanzas,186
Camagüey,Matanzas,120
Las Tunas,Matanzas,201
Holguín,Matanzas,193
Granma,Matanzas,243
Santiago de Cuba,Matanzas,146
Guantánamo,Matanzas,16
Pinar del Río,Villa Clara,5
Artemisa,Villa Clara,56
La Habana,Villa Clara,482
